Comment,Description,Designator,Footprint,LibRef,Pins,Quantity
IP101GR,U202,U202,Package_DFN_QFN:QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm,,2,1
8P8C_LED_Shielded,J201,J201,Connector_RJ:RJ45_Amphenol_RJHSE538X,,2,1
5.1K,R202,R202,0603,,2,1
330R,R201,R201,0603,,2,1
5.1K,R203,R203,0603,,2,1
330R,R204,R204,0603,,2,1
PT61017PEL,TR201,TR201,Transformer_SMD:Transformer_Ethernet_Bourns_PT61017PEL,,2,1
75R,R207,R207,0603,,2,1
75R,R208,R208,0603,,2,1
75R,R210,R210,0603,,2,1
75R,R209,R209,0603,,2,1
0.01uF/2KV,C201,C201,Capacitor_SMD:C_1812_4532Metric,,2,1
0.01uF,C203,C203,0603,,2,1
0.1uF,C204,C204,0603,,2,1
0.01uF,C205,C205,0603,,2,1
0.1uF,C206,C206,0603,,2,1
0.01uF/2KV,C202,C202,Capacitor_SMD:C_1812_4532Metric,,2,1
120R,FB202,FB202,0805,,2,1
0.1uF,C213,C213,0603,,2,1
10uF,C211,C211,0805,,2,1
120R,FB201,FB201,0805,,2,1
0.1uF,C212,C212,0603,,2,1
10uF,C210,C210,0805,,2,1
25MHz,Y201,Y201,Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm,,2,1
1M,R216,R216,0603,,2,1
30pF,C209,C209,0603,,2,1
30pF,C214,C214,0603,,2,1
0R,R206,R206,0603,,2,1
0.01uF,C207,C207,0603,,2,1
0.1uF,C208,C208,0603,,2,1
6.19K,R215,R215,0603,,2,1
5.1K,R212,R212,0603,,2,1
5.1K,R213,R213,0603,,2,1
5.1K,R214,R214,0603,,2,1
10K,R211,R211,0603,,2,1
10K,R205,R205,0603,,2,1
USB_A,J301,J301,Connector_USB:USB_A_Stewart_SS-52100-001_Horizontal,,2,1
USB_C_Receptacle,J302,J302,Connector_USB:USB_C_Receptacle_Palconn_UTC16-G,,2,1
0.01uF,C303,C303,0603,,2,1
22R,R303,R303,0603,,2,1
22R,R304,R304,0603,,2,1
0.01uF,C304,C304,0603,,2,1
22R,R301,R301,0603,,2,1
22R,R302,R302,0603,,2,1
5.1K,R305,R305,0603,,2,1
5.1K,R306,R306,0603,,2,1
USB0 Host/Device,JP301,JP301,Jumper:SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,2,1
10uF,C301,C301,0805,,2,1
10uF,C302,C302,0805,,2,1
20K,R308,R308,0603,,2,1
39K,R309,R309,0603,,2,1
POWER,J303,J303,"Connector_Phoenix_MC_HighVoltage:PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal",,2,1
SS14,D302,D302,Diode_SMD:D_SMA,,2,1
10uF,C306,C306,0805,,2,1
0.1uF,C305,C305,0603,,2,1
10K,R307,R307,0603,,2,1
GREEN,D301,D301,LED_SMD:LED_0603_1608Metric,,2,1
MountingHole,H301,H301,MountingHole:MountingHole_3.2mm_M3_Pad_Via,,2,1
MountingHole,H302,H302,MountingHole:MountingHole_3.2mm_M3_Pad_Via,,2,1
MountingHole,H303,H303,MountingHole:MountingHole_3.2mm_M3_Pad_Via,,2,1
MountingHole,H304,H304,MountingHole:MountingHole_3.2mm_M3_Pad_Via,,2,1
W25N01GV,U401,U401,MicroSD:Mi,,2,1
